,time,club,id,first_name,gender,trained_10_week,trained_im,has_trainer,Age,VO2 Max,BMI,n Marathons run,Cadence
5275,02:00:08,,5257,Teresa,female,8,8,0,35,34.36,22.68,1,160
7398,02:00:07,Royston Runners,7376,Elisabeth,female,2,5,1,40,31.01,18.06,3,166
9651,02:00:07,,9624,Nora,female,0,3,0,35,29.66,21.28,1,161
14436,02:00:06,,14394,Carla,female,0,4,0,42,12.71832329,20.96,3,171
1770,02:00:05,,1767,Donna,female,0,3,0,48,17.78,20.03,2,156
11322,02:00:05,Sandhurst Joggers,11289,Michele,female,0,3,0,37,20.88,20.64,1,169
6421,02:00:05,,6402,Clare,female,3,3,0,39,12.78,21.63,3,164
1771,02:00:05,,1768,Lily,female,0,5,0,41,41.52,20.11,1,162
13255,02:00:04,,13214,Sarah,female,0,4,0,46,31.24,20.25,4,164
7974,02:00:03,,7952,Daniel,male,1,1,0,36,20.99,19.25,2,159
4121,02:00:03,,4108,Daysie,male,1,4,0,35,30.59,22.49,1,1
12629,02:00:01,,12592,Andria,female,1,4,0,25,31.76,20.01,3,154
9237,02:00:01,RunVerity,9213,Kipela,male,0,2,0,33,42.12,21.33,0,172
9236,02:00:00,,9212,Becky,female,0,3,0,27,25.51,18.38,1,165
13437,01:59:59,,13395,Amy,female,1,5,0,32,31.79,21.73,1,164
2998,01:59:59,,2988,Andy,male,0,3,0,44,37.35,19.62,2,161
9650,01:59:58,,9623,Ian,male,2,9,0,38,23.71,20.5,3,163
9649,01:59:56,,9622,Zoë,female,7,7,0,43,26.78,21.06,3,160
9648,01:59:55,,9621,Mark,male,0,4,0,35,25.26,20.13,0,164
11321,01:59:55,,11288,Michael,male,1,6,0,45,0,22.32,2,165
389,01:59:54,,389,Lydia,female,4,4,0,36,34.93,20.68,3,159
7032,01:59:54,,7010,Louise,female,0,0,0,44,19.81,20.65,0,168
2997,01:59:53,Stubbington Green Runners,2987,Helen,female,3,5,0,39,12.71832329,20.08,1,155
12628,01:59:53,,12591,Peter,male,2,4,0,40,23.51,22.76,2,160
10598,01:59:53,Dagenham 88 Runners,10568,Sara,female,1,3,0,36,13.24,23.54,2,169
2996,01:59:52,Ealing Eagles RC,2986,Mandy,female,0,3,0,36,40.14,22.32,3,165
12627,01:59:52,,12590,Sarah,female,5,5,0,27,12.67,21.97,2,168
14434,01:59:52,,14392,Emma,female,0,0,0,48,17.46,22.18,1,160
14435,01:59:52,,14393,David,male,0,5,0,32,17.17,20.31,1,163
7397,01:59:52,Lincoln Wellington Athletic Club,7375,Ian,male,1,2,0,34,36.08,21.17,2,159
7396,01:59:52,,7374,Louise,female,2,3,0,30,40.11,19.9,0,1
9235,01:59:50,,9211,Daniel,male,2,5,0,49,22.04,18.84,2,158
12626,01:59:50,100 Marathon Club,12589,Oliver,male,0,6,1,39,23.43,20.09,1,160
12625,01:59:49,Datchet Dashers,12588,Janet,female,4,6,1,32,12.71832329,19.06,2,156
1769,01:59:49,Wimborne AC,1766,Andy,male,0,7,1,36,12.01,22.96,1,157
2995,01:59:49,,2985,Caroline,female,0,7,0,35,23.81,21.42,2,159
14433,01:59:49,,14391,Denise,female,0,0,0,36,21.12,22.32,2,152
12624,01:59:48,,12587,Wayne,male,0,1,0,33,11.39,20.23,2,155
2994,01:59:47,,2984,Brian,male,3,4,0,32,26.65,21.27,1,162
9234,01:59:47,,9210,Anne,female,0,4,0,27,12,20.98,1,160
1768,01:59:46,Lordshill Road Runners,1765,Caroline,female,0,0,0,45,29.58,20.75,2,162
6420,01:59:46,,6401,Sharon,female,0,2,0,38,23.1,21.71,3,1
9233,01:59:46,,9209,Sally,female,3,3,0,33,23.86,20.22,2,169
10597,01:59:46,,10567,Claire,female,0,5,0,30,12.76,20.66,1,159
3746,01:59:46,,3734,Gui,male,0,4,0,40,14.13,21.09,1,157
12623,01:59:45,RunVerity,12586,Amanda,female,0,7,1,25,12.71832329,19.12,2,175
9232,01:59:43,,9208,Emma,female,0,3,0,36,0,21.96,2,170
14432,01:59:42,Ashford Striders RC,14390,Jason,male,0,3,0,32,12.71832329,20.68,2,155
9231,01:59:42,,9207,Stuart,male,4,7,1,32,16.45,18.65,2,164
12622,01:59:42,,12585,Trevor,male,3,4,0,43,16.79,19.85,1,159
2993,01:59:42,,2983,Sarah,female,0,3,0,34,17.23,21.45,3,162
10596,01:59:40,,10566,Carrie,female,0,4,0,24,35.58,20.45,2,158
9888,01:59:38,,9861,Isabel,female,0,4,0,24,12.93,20.42,1,151
1767,01:59:36,,1764,Helen,female,0,2,0,38,33.95,20.69,2,157
3745,01:59:36,,3733,Dean,male,1,4,0,25,18.65,21.59,2,156
10594,01:59:36,Lordshill Road Runners,10564,Claire,female,0,2,0,38,25.85,21.93,700,161
10595,01:59:36,,10565,Sharon,female,0,4,0,35,22.71,20.79,0,163
12621,01:59:35,,12584,James,male,0,2,0,35,28.11,21.4,1,157
6419,01:59:35,Solent Running Sisters,6400,Tash,male,0,2,0,34,12.71832329,19.57,2,165
14431,01:59:35,RunVerity,14389,Michelle,female,0,3,0,37,12.95,18.62,2,169
3744,01:59:34,,3732,Danielle,female,0,0,0,31,22.12,23.49,3,156
12620,01:59:34,,12583,Nicola,female,0,3,0,47,35.36,23.17,1,166
9230,01:59:34,,9206,Chris,male,0,0,0,42,14.71,19.57,2,159
4593,01:59:33,,4576,Alex,male,0,5,0,31,14.82,22.51,-1,164
1766,01:59:32,,1763,Martha,female,6,6,0,27,18.47,20.63,1,158
6418,01:59:32,Taunton Running Club,6399,Mark,male,2,3,1,38,31.24,20.28,3,163
7973,01:59:32,,7951,Linda,female,0,4,0,40,21.51,21.83,3,155
10593,01:59:31,,10563,George,male,1,5,0,33,30.28,18.07,1,165
9229,01:59:30,West Wight Road Runners,9205,Graham,male,2,5,1,40,31.7,21.11,3,161
10592,01:59:30,,10562,Laura,female,3,3,0,44,40.12,21.74,1,161
5274,01:59:30,,5256,Helen,female,4,4,0,35,14.11,22.27,4,161
5273,01:59:29,,5255,Andrea,female,0,4,0,36,23.84,21.99,3,157
13254,01:59:29,,13213,Peter,male,0,4,0,36,20.42,20.47,3,165
5272,01:59:29,,5254,Charlotte,female,4,4,0,37,12.71832329,21.43,1,166
9228,01:59:28,,9204,Carole,female,2,2,0,32,31.08,20.46,1,165
4592,01:59:27,,4575,Peter,male,0,3,0,43,12.71832329,22.82,2,155
5271,01:59:27,Haslemere Border AC,5253,Helen,female,0,6,0,37,25.93,19.06,2,170
14430,01:59:27,,14388,Natalie,female,0,3,0,32,18.04,18.52,2,159
6417,01:59:26,,6398,Eleanor,female,0,4,0,43,32.09,21.78,3,165
11320,01:59:25,,11287,Allan,male,0,3,0,36,28.72,22.12,2,165
9227,01:59:23,,9203,Adam,male,3,5,0,42,24.42,20.4,2,1
9887,01:59:23,,9860,Jack,male,0,0,0,45,26.86,21.75,2,161
12619,01:59:22,,12582,Debbie,female,2,3,0,20,0,19.91,1,163
6416,01:59:22,,6397,Jade,female,2,4,0,31,13.1,21.67,1,162
9647,01:59:21,,9620,Yasmin,female,0,2,0,47,28.7,20.07,3,155
1765,01:59:21,,1762,Chris,male,6,6,0,23,22.07,21.88,1,159
12618,01:59:21,Notts Women Runners,12581,Dawn,female,0,0,0,36,27.21,21.23,2,166
7972,01:59:21,,7950,Helen,female,0,3,0,40,40.23,20.92,2,151
14429,01:59:20,,14387,Julie,female,0,3,0,26,23.41,21.44,1,159
10591,01:59:20,,10561,Tracey,female,0,2,0,37,22.5,22.78,1,162
5270,01:59:20,Stopsley Striders,5252,Theresa,female,7,7,1,34,18.11,20.61,1,163
1764,01:59:19,,1761,Sherry,female,0,7,0,34,20.11,19.81,2,160
10590,01:59:19,Dorchester RIOT,10560,Lucy,female,0,5,1,39,20.64,19.82,20000,176
10589,01:59:19,,10559,Tracey,female,2,3,0,35,0,20.28,2,152
12617,01:59:19,,12580,Sian,female,1,6,0,24,22.12,22.29,0,157
6415,01:59:18,,6396,Sarah,female,1,3,0,37,20.32,20.34,2,160
1763,01:59:18,,1760,Courtney,female,0,5,0,33,12.71832329,18.71,1,160
4591,01:59:17,Abbey Running Club,4574,Erica,female,3,3,0,26,27.21,23.67,2,166
7031,01:59:16,On the Run Aylesbury,7009,Megan,female,2,6,0,40,33.87,19.22,4,158
14428,01:59:15,,14386,Darren,male,0,5,0,42,24.13,20.62,1,158
7030,01:59:15,,7008,Emily,female,0,3,0,27,26.46,20.75,1,161
13253,01:59:14,,13212,Aliyah,female,1,3,0,38,19.25,21.18,2,157
1762,01:59:14,,1759,Naomi,female,0,3,0,35,18.78,20.8,2,158
9646,01:59:13,,9619,Toni,male,2,3,0,31,29.84,20.48,2,167
7971,01:59:12,,7949,Rachel,female,3,3,0,35,15.96,22.72,2,158
12616,01:59:12,,12579,Bridget,female,1,1,0,36,13.43,21.17,3,167
3743,01:59:11,,3731,Joanna,female,5,5,0,25,19.04,22.76,0,155
3742,01:59:10,Vegan Runners UK,3730,Jude,male,0,4,0,32,0,20.45,0,169
1761,01:59:10,Runnyhoneys,1758,Kirsten,female,0,4,0,50,12.71832329,23.96,1,157
14427,01:59:10,,14385,Amy,female,0,4,0,22,12.71832329,19.13,2,163
2992,01:59:10,Runnyhoneys,2982,Sarah,female,0,3,0,40,19.05,22.57,1,1
12615,01:59:08,,12578,Paul,male,0,2,0,36,13.12,23.35,4,1
12614,01:59:05,Warrington Road Runners,12577,Tony,male,0,1,0,45,27.36,19.63,2,160
5269,01:59:05,,5251,Chris,male,0,4,0,39,20.53,18.86,2,156
1760,01:59:05,,1757,Amanda,female,2,2,0,31,20.59,20.9,2,160
2991,01:59:04,,2981,Terry,male,0,4,0,39,29.78,23.84,2,157
1759,01:59:04,,1756,Anthony,male,5,5,0,25,21.43,20.35,0,162
10588,01:59:03,Chessington Unity Running Club,10558,Catherine,female,5,5,0,30,17.65,18.58,2,162
13252,01:59:03,,13211,Nikki,female,1,5,0,25,20.12,20.7,0,162
3741,01:59:03,,3729,Laura,female,0,4,0,40,17.53,17.74,3,154
1758,01:59:03,Hatch Warren Runners,1755,Louise,female,0,5,0,34,41.99,18.84,3,161
12613,01:59:03,,12576,Henry,male,6,6,0,36,23.82,19.71,2,154
12612,01:59:02,,12575,Steven,male,1,5,0,50,23.85,20.43,3,168
3740,01:59:02,,3728,Rob,male,5,5,0,29,12.71832329,22.15,1,160
2990,01:59:01,Portsmouth Joggers,2980,Rosie,female,0,3,0,36,21.89,17.01,3,1
14426,01:59:01,,14384,Alice,female,0,3,0,25,19.23,18.82,3,162
387,01:59:01,,387,Jessica,female,1,5,0,38,30.31,18.13,3,159
4120,01:59:01,,4107,Lisa,female,1,1,0,30,24.09,21.49,2,159
388,01:59:01,Hastings Runners,388,Lorraine,female,0,6,1,29,11.19,22.79,3,165
3739,01:59:00,,3727,Tyler,male,5,5,0,46,40.44,22.14,2,153
10587,01:58:59,Itchen Spitfires Running Club,10557,Lynnette,female,0,5,1,41,23.11,23.11,3,165
4119,01:58:59,,4106,Dave,male,5,5,0,34,34.55,16.43,1,169
3738,01:58:59,2 Dash,3726,Tracey,female,2,6,1,30,14.69,20.43,2,168
6663,01:58:58,,6641,Carrie,female,2,6,0,44,20.93,20.44,2,166
6414,01:58:58,,6395,Warren,male,0,6,0,35,23.7,20.31,3,161
10586,01:58:58,,10556,Shelley,female,6,6,0,36,18.66,22.4,3,157
1757,01:58:58,,1754,Marcus,male,4,4,0,36,10.21,19.84,2,149
13251,01:58:57,,13210,Jo,male,1,2,0,30,26.75,21.72,2,153
14425,01:58:56,,14383,Chantal,female,0,4,0,31,17.62,20.74,2,161
3737,01:58:55,,3725,Paul,male,4,4,0,32,17.55,20.22,2,160
13250,01:58:55,Bognor Regis Tone Zone Runners,13209,Dawn,female,3,5,0,33,18.12,21.67,2,166
10585,01:58:55,,10555,Sarah,female,4,4,0,34,12.71832329,19.83,2,157
2989,01:58:54,Ryde Harriers,2979,Constantinos,male,1,1,1,43,28.99,22.89,2,166
14424,01:58:54,,14382,Kim,female,0,8,0,38,16.16,21.3,1,154
13249,01:58:54,,13208,Emily,female,3,5,0,33,16.77,20.49,2,167
12611,01:58:54,,12574,Sara,female,0,2,0,29,12.71832329,23.19,2,165
3736,01:58:53,,3724,Amber,female,2,2,0,34,12.21,22.77,2,174
6413,01:58:53,,6394,Brett,male,0,0,0,50,0,21.16,2,161
386,01:58:52,,386,Jade,female,4,4,0,45,0,999,3,163
9226,01:58:52,,9202,Brian,male,0,5,0,44,10.93,18.07,2,172
7970,01:58:52,,7948,Vince,male,0,4,0,36,17.76,21,3,149
11319,01:58:52,,11286,Karen,female,0,5,0,33,15.43,20.12,2,1
4118,01:58:52,,4105,Harry,male,3,3,0,46,23.68,21.71,1,157
12609,01:58:52,,12572,Andrea,female,0,2,0,28,16.45,20.19,2,1
14422,01:58:52,,14380,Sarah,female,0,2,0,45,12.71832329,22.24,1,159
12610,01:58:52,,12573,Kirk,male,2,5,0,28,12.71832329,17.87,3,169
14423,01:58:52,,14381,Laura,female,4,8,0,47,27.57,19.47,2,171
9225,01:58:51,,9201,Jaymes,male,3,5,0,34,22.81,17.93,0,165
12608,01:58:51,Mole Valley Runners,12571,Sally,female,5,5,0,34,13.99,22.51,3,166
9224,01:58:51,,9200,Dan,male,6,7,0,41,25.51,20.91,2,163
12607,01:58:50,Clanfield Joggers,12570,Nicola,female,0,2,0,31,21.64,22.86,3,153
4590,01:58:50,,4573,Andy,male,5,5,0,31,20.9,19.73,2,169
13248,01:58:47,Absolute 545 RunClub,13207,Erika,female,0,1,0,36,38.4,21.79,1,156
3735,01:58:47,,3723,Claire,female,0,4,0,0,23.09,21.68,4,163
6412,01:58:47,,6393,Finn,male,0,2,0,38,12.27,20.92,3,166
13247,01:58:47,,13206,Mark,male,0,2,0,35,25.77,21.73,1,158
2987,01:58:47,,2977,Paul,male,3,3,0,41,19.99,20.15,0,165
2988,01:58:47,,2978,Emily,female,3,3,0,36,22.09,20.09,3,152
4589,01:58:45,,4572,Steve,male,2,3,0,46,19.92,999,3,160
9223,01:58:45,Hatch Warren Runners,9199,Steve,male,0,1,0,46,23.83,21.46,3,163
4117,01:58:45,,4104,Mark,male,9,9,0,45,0,23.22,3,164
13246,01:58:44,,13205,Justin,male,4,5,0,44,18.28,18.25,1,1
7969,01:58:43,,7947,Tom,male,1,3,0,33,13.61,19.47,1,154
7968,01:58:43,,7946,Adrian,male,0,4,0,40,12.48,22.47,2,166
14421,01:58:42,Stevenage Striders Running Club,14379,Stacie,female,0,2,0,42,22.9,20.28,1000000,160
2986,01:58:41,,2976,Jaz,male,6,6,0,32,37.54,19.51,4,1
10584,01:58:41,,10554,Robert,male,0,2,0,41,28.05,19.27,2,163
14636,01:58:40,,14589,Annabel,female,2,2,0,24,13.19,20.12,2,162
2985,01:58:39,,2975,Sarah,female,0,4,0,28,29.32,18.27,1,159
2984,01:58:39,Dagenham 88 Runners,2974,Yolanda,female,0,2,0,50,12.71832329,21.66,3,160
3734,01:58:38,,3722,Kevin,male,1,3,0,34,20.29,17.97,1,158
4116,01:58:38,Eastleigh RC,4103,Sarah-jayne,male,3,3,0,38,18.96,22.23,1,161
7966,01:58:36,On the Run Aylesbury,7944,Agnes,female,0,3,1,48,20.58,18.58,2,167
12606,01:58:36,,12569,Amos,male,0,5,0,34,29.74,22,1,153
9222,01:58:36,New Forest Runners,9198,Jane,female,1,3,0,44,20.07,22.52,4,164
7967,01:58:36,,7945,Tony,male,5,5,0,24,12.67,20.77,3,161
2983,01:58:36,,2973,Ian,male,2,2,0,50,28.11,20.56,1,167
2982,01:58:36,,2972,Bee,female,0,5,0,32,10.04,20.78,2,161
4115,01:58:35,,4102,Sophie,female,2,2,0,26,10.55,19.7,2,155
2980,01:58:35,,2970,Paul,male,1,1,0,29,31.53,20.42,3,167
2981,01:58:35,,2971,Kozeta,female,3,3,0,18,13.55,18.76,2,169
10583,01:58:35,Run Mummy Run CRC,10553,Becky,female,1,6,1,32,28.16,21.07,2,161
9221,01:58:34,,9197,Alex,male,4,4,0,42,31.07,19.26,3,179
7965,01:58:34,,7943,Alex,male,2,5,0,27,19.88,21.19,3,164
10582,01:58:34,,10552,Mark,male,2,2,0,34,31.29,21.63,2,158
1756,01:58:33,,1753,David,male,0,7,1,28,20.92,20.98,4,161
12605,01:58:33,,12568,Claire,female,0,6,0,37,21.33,20.98,1,162
3733,01:58:32,,3721,Andrea,female,0,1,0,30,28.68,17.87,3,168
1755,01:58:32,Lonely Goat Running Club,1752,Helen,female,1,4,1,29,37.57,20.83,1,1
12604,01:58:32,,12567,Emma,female,4,4,0,28,14.72,22.69,4,171
9220,01:58:31,,9196,John,male,0,2,0,38,18.61,18.21,0,165
385,01:58:31,,385,Julia,female,0,3,0,35,0,21.75,1,154
2979,01:58:31,,2969,Jackie,male,0,4,0,37,27.8,18.8,3,164
14420,01:58:31,,14378,Zak,male,0,3,0,27,14.89,18.68,2,167
1754,01:58:31,,1751,Harry,male,0,0,0,46,0,20.71,3,167
3732,01:58:31,,3720,Harry,male,0,0,0,30,29.62,20.67,1,165
9219,01:58:30,,9195,Paige,male,2,3,0,31,23.24,21.74,1,165
7964,01:58:30,,7942,Adam,male,0,2,0,30,26.55,19.81,1,166
9218,01:58:30,,9194,Molly,female,2,2,0,29,36.49,22.15,0,157
9217,01:58:30,,9193,Mark,male,2,3,0,38,12.71832329,18.22,2,162
1753,01:58:30,,1750,Matthew,male,0,3,0,26,32.14,19.68,3,1
4114,01:58:29,,4101,Faye,female,6,6,0,29,21.25,21.91,2,155
6411,01:58:29,Beginners2Runners,6392,Kayleigh,female,8,8,1,34,19.76,20.8,2,166
12603,01:58:28,,12566,Harvinder,male,4,5,0,35,0,20.06,1,164
9645,01:58:28,,9618,Sue,female,3,3,0,38,15.45,20.76,3,156
1752,01:58:28,,1749,Harry,male,0,4,0,34,12.71832329,18.95,1,158
9216,01:58:27,,9192,Cerys,female,5,5,0,39,15.5,22.01,3,161
384,01:58:27,,384,Toni,male,6,6,0,32,19.39,17.88,2,166
5268,01:58:27,,5250,Chloe,female,5,5,0,43,0,18.9,3,1
6410,01:58:27,,6391,John,male,0,3,0,30,12.88,21.67,2,1
2978,01:58:25,,2968,Tracy,female,0,2,0,43,16.27,23.93,3,163
5267,01:58:25,Blackwater Valley Runners,5249,Helen,female,0,2,0,35,12.71832329,20.28,2,165
1750,01:58:25,Itchen Spitfires Running Club,1747,Kalikokha,male,0,1,0,26,18.58,18.78,2,163
6409,01:58:25,Hamwic Harriers,6390,Abigail,female,0,5,0,32,15.97,21.17,2,164
14419,01:58:25,,14377,Teresa,female,0,6,0,34,30.67,19.79,3,160
14418,01:58:25,,14376,Nicola,female,0,2,0,36,20.51,21.62,2,165
1751,01:58:25,,1748,Christina,female,3,3,0,29,12.71832329,21.55,3,168
12602,01:58:24,,12565,Amy,female,0,4,0,39,14.12,19.16,2,157
10581,01:58:24,Daventry Road Runners,10551,Sharon,female,0,4,1,31,14.9,20.77,2,164
13245,01:58:22,Ryston Runners AC,13204,Joanna,female,0,0,0,33,29.1,21.97,1,162
9644,01:58:22,,9617,Sarah,female,0,1,0,25,29.5,21.29,0,1
9215,01:58:22,,9191,Sarah,female,2,2,0,28,14.42,19.2,3,165
2977,01:58:20,,2967,Mitch,male,2,2,0,45,26.79,19.74,1,153
1749,01:58:20,,1746,Carole,female,0,3,0,44,12.71832329,22.69,2,159
1748,01:58:20,,1745,Louise,female,0,5,0,28,25.26,20.6,3,1
383,01:58:20,,383,Preston,male,2,3,0,36,26.56,19.08,1,154
1747,01:58:19,,1744,Poppy,female,0,2,0,32,26.63,20.86,4,162
6407,01:58:19,,6388,John,male,0,3,0,42,16.89,21.03,4,169
6406,01:58:19,,6387,Stephen,male,0,3,0,44,12.71832329,22,0,165
6408,01:58:19,,6389,Kelly,female,0,2,0,35,12.71832329,21.26,2,156
3731,01:58:18,,3719,Eloise,female,2,3,0,31,23.19,18.32,2,169
7395,01:58:18,,7373,Virginie,female,2,4,0,32,19.04,21.02,3,161
7394,01:58:17,,7372,Caitlin,female,0,3,0,41,17.27,21.05,1,166
1746,01:58:16,Hardley Runners,1743,Ian,male,3,3,0,36,24.92,19.54,3,160
10580,01:58:15,On the Run Aylesbury,10550,Tina,female,0,4,0,34,23.7,17.34,3,164
10579,01:58:15,Baffins Fitclub,10549,Colette,female,0,0,0,33,25.43,23.32,0,162
1745,01:58:15,New Forest Runners,1742,Patricia,female,7,7,1,27,36.87,19.49,3,164
11318,01:58:15,,11285,Paul,male,4,4,0,46,11.43,17.99,3,165
9214,01:58:15,Portsmouth Joggers,9190,Keith,male,0,4,0,38,23.75,21.22,1,157
14417,01:58:14,Stubbington Green Runners,14375,Mandy,female,0,6,1,33,23.85,21.9,2,174
6405,01:58:14,Hillingdon AC,6386,Catherine,female,4,4,0,32,22.69,19.7,3,160
12601,01:58:14,Thetford AC,12564,Debbie,female,2,4,0,27,10.95,23.7,2,168
9213,01:58:14,,9189,Helen,female,0,5,0,27,33.34,19.47,2,159
10578,01:58:14,,10548,Lyndsey,female,5,7,0,42,22.68,21.25,2,158
6662,01:58:14,,6640,Ariiq,male,2,4,0,34,27.97,21.35,2,171
1743,01:58:14,Lonely Goat Running Club,1740,Emma,female,0,3,1,42,18.5,19.87,3,152
1744,01:58:14,Inspire Runners Chichester,1741,Lois,female,0,2,0,38,16.39,20.63,4,155
11317,01:58:14,,11284,Becky,female,1,2,0,29,27.14,23.8,2,158
9212,01:58:13,Pitsea RC,9188,Steve,male,3,3,0,38,26.98,21.72,2,164
12600,01:58:13,RunVerity,12563,Liz,female,0,1,0,35,37.59,999,1,159
1742,01:58:13,Pitsea RC,1739,Marion,female,0,5,1,25,21.92,20.61,3,171
382,01:58:12,,382,Gurpreet,male,5,5,0,31,46.78,18.1,3,150
1741,01:58:12,,1738,Armelle,female,1,3,0,32,0,999,2,166
4113,01:58:12,Wimbledon Windmilers,4100,Hannah,female,0,4,0,34,19.73,20.09,3,164
9886,01:58:12,West Wight Road Runners,9859,Cherry,female,0,3,0,45,11.67,22.23,3,162
11316,01:58:12,,11283,Stephanie,female,0,1,0,19,13.8,19.81,2,156
10577,01:58:12,,10547,Adele,female,0,4,0,34,36.43,22.77,5,164
12599,01:58:11,,12562,Lucinda-jane,male,0,0,0,38,30.23,20.12,1,169
11315,01:58:11,,11282,Keith,male,0,3,0,43,37.71,18.96,3,164
381,01:58:10,,381,Yasmin,female,3,6,0,27,34.56,20.38,2,167
6404,01:58:10,,6385,Amy,female,0,7,0,39,12.71832329,21.54,2,161
7963,01:58:10,,7941,Denize,male,0,0,0,44,32.65,22.26,3,155
380,01:58:09,,380,Emily,female,0,2,0,24,17.87,22.27,3,166
12598,01:58:09,,12561,Aimee,female,0,6,0,28,26.69,20.58,0,155
12597,01:58:09,,12560,James,male,5,6,0,34,15.57,21.41,2,160
14416,01:58:09,,14374,Jennifer,female,2,4,0,50,32.94,21.6,2,154
7962,01:58:07,Netley Abbey Runners,7940,Claire,female,0,0,0,39,21.03,21.13,1,170
9885,01:58:06,,9858,Chloe,female,5,5,0,34,30.1,19.44,3,157
13244,01:58:05,,13203,Jon,male,1,4,0,30,21,21.37,2,167
2976,01:58:04,,2966,John,male,3,3,0,33,28.76,23.49,2,161
1740,01:58:03,,1737,Matt,male,4,4,0,40,12.71832329,999,2,157
9211,01:58:03,,9187,Darren,male,0,1,0,29,34.12,21.42,700,152
1739,01:58:02,,1736,Nathan,male,0,3,0,30,11.82,23.52,2,168
2975,01:58:02,,2965,Thomas,male,1,5,0,28,12.71832329,19.97,1,166
9210,01:58:02,,9186,Connor,male,5,5,0,42,19.29,23.18,1,159
5266,01:58:02,,5248,Andy,male,0,2,0,42,20.9,23.12,1,170
7393,01:58:02,Haslemere Border AC,7371,Sarah,female,2,7,1,42,37.82,19.21,3,166
13243,01:58:01,,13202,Linden,male,0,1,0,28,30.14,17.71,-1,152
4112,01:58:00,Blackwater Valley Runners,4099,Jemma,female,0,2,0,35,26.17,19.72,2,163
5265,01:58:00,,5247,Sharon,female,0,5,0,36,10.47,22.49,1,159
12596,01:58:00,,12559,Julie,female,0,0,0,30,35.33,24.03,3,160
10575,01:57:59,,10545,Vickie,female,3,7,0,26,25.49,21.63,2,153
4111,01:57:59,,4098,Eloise,female,0,1,0,35,12.71832329,21.15,3,154
13242,01:57:59,On the Run Aylesbury,13201,Phil,male,0,1,0,21,17.32,19.43,0,165
12595,01:57:59,On the Run Aylesbury,12558,Julie,female,0,6,0,39,33.16,18.61,2,159
10576,01:57:59,,10546,Carol,female,3,6,0,35,16.85,22.11,2,158
9884,01:57:58,100 Marathon Club,9857,Paul,male,0,2,1,34,31.96,21.45,3,154
4110,01:57:58,,4097,Amber,female,2,4,0,40,12.98,21.88,3,152
14415,01:57:58,,14373,Corinne,female,2,2,0,47,20.45,20.54,3,159
5264,01:57:58,,5246,Julia,female,2,4,0,45,25.75,22.98,2,163
9209,01:57:58,,9185,Nicholas,male,0,2,0,33,17.28,22.87,1,169
11314,01:57:57,,11281,Jennifer,female,6,6,0,37,18.94,21.55,3,171
12594,01:57:56,Portsmouth Joggers,12557,Lorraine,female,0,0,0,38,18.52,20.39,2,1
6403,01:57:55,,6384,Louise,female,0,1,0,27,19.69,18.95,0,172
2974,01:57:54,100 Marathon Club,2964,Beth,female,4,4,0,34,28.25,20.97,1,1
4588,01:57:54,,4571,Katie,female,0,3,0,21,42.55,21.27,2,164
1738,01:57:54,,1735,Fleur,female,4,4,0,41,16.47,21.1,2,162
9208,01:57:53,,9184,Samantha,female,3,6,0,25,12.71832329,20.71,3,164
9207,01:57:53,,9183,Ben,male,0,3,0,35,13.98,20.97,0,168
2972,01:57:53,,2962,Richard,male,0,2,0,36,24.59,21.72,2,173
10573,01:57:53,,10543,Jane,female,1,2,0,28,13.93,999,0,160
10574,01:57:53,,10544,Clair,male,2,4,0,36,21.27,21.54,2,161
2973,01:57:53,Netley Abbey Runners,2963,Alexandra,female,2,6,1,39,12.37,19.91,3,158
1737,01:57:53,Netley Abbey Runners,1734,Kat,female,0,2,0,40,22.39,22.74,3,157
11313,01:57:53,RunVerity,11280,Lynda,female,0,1,0,42,13.95,23.18,5,160
1736,01:57:53,,1733,Joanne,female,5,5,0,31,34.95,22.06,1,154
379,01:57:51,RunVerity,379,Chris,male,0,6,1,33,27.3,21.19,2,157
7961,01:57:51,,7939,Colette,female,0,4,0,34,15.31,22.08,2,162
5263,01:57:51,,5245,Paula,female,2,2,0,35,28.32,19.77,2,157
9206,01:57:51,,9182,Rachel,female,0,3,0,22,28.36,23.24,0,163
3730,01:57:50,Solent Running Sisters,3718,Nikki,female,1,3,0,37,40.95,17.97,3,166
12593,01:57:50,,12556,Emma,female,2,4,0,22,24.8,18.78,3,165
7029,01:57:50,,7007,Sally,female,0,0,0,45,37.6,21.26,4,162
2971,01:57:50,,2961,Jenny,female,3,3,0,37,19.37,20.14,3,169
5262,01:57:49,Okehampton Running Club,5244,Lucy,female,2,5,1,32,29.22,20.03,2,169
6400,01:57:49,Ealing Eagles RC,6381,Mark,male,6,6,1,34,12.71832329,21.3,2,165
1735,01:57:49,Ealing Eagles RC,1732,Stephen,male,1,3,1,27,34.21,21.23,1,1
6402,01:57:49,,6383,Alison,female,0,4,0,29,29.04,21.12,1,160
14414,01:57:49,,14372,Katie,female,0,7,0,36,28.95,21.39,3,165
6401,01:57:49,,6382,Lydia,female,0,3,0,35,29.47,999,1,155
5261,01:57:48,Arunners RC,5243,Chris,male,2,4,0,28,40,17.57,3,170
1734,01:57:48,,1731,Harish,male,0,3,0,27,24.06,20.99,3,153
2970,01:57:47,,2960,Calum,male,0,0,0,52,0,22.23,3,165
